id,root_id,crewscore,rating,stuffshipped,stuffharvested,oremined,researchdone,eventsendured,powerloss,mess,meals,disease,deadcommand,arrested,traitorswon,roleswon,allarrested,opkilled,disc,nuked,destranomaly,rec_antags,crew_escaped,crew_dead,crew_total,crew_survived,captain,powerbonus,messbonus,deadaipenalty,foodeaten,clownabuse,richestname,richestjob,richestcash,richestkey,dmgestname,dmgestjob,dmgestdamage,dmgestkey
648,49353,2466,Promotions for Everyone,7,73,971,53,0,8,593,8,0,0,0,0,1,0,0,0,0,0,0,24,1,68,48,{Russell Hall},0,0,0,180,0,Artem Byblikov,Xenobiologist,855,HE_APTEM,Lim Tresspadas,Medical Doctor,23,Arygal
649,49629,688,Lean Mean Machine Thirteen,1,8,529,7,0,2,289,3,0,0,0,0,0,0,0,0,0,0,0,8,0,28,20,{Fanzilia Clark},0,0,0,30,6,Howl Of The Winds,Station Engineer,960,DivineName,"","",0,""
650,49546,2553,Promotions for Everyone,0,0,232,7,0,0,164,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,3,"",1,0,0,14,17,Vladimir Nesterenko,Forensic Technician,236,Mental eater,"","",0,""
651,49506,3459,Promotions for Everyone,0,0,0,49,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,5,2,10,8,"",1,0,0,52,31,Son Of Bucket,Chemist,900,Individuum135,"","",0,""
652,49533,-3893,You're All Fired,0,0,108,7,0,1,931,0,0,0,0,0,0,0,0,0,1,0,0,0,13,5,0,{Gennady Whiteman},0,0,0,13,0,"","",0,"","","",0,""
653,49569,-16219,Singularity Fodder,2,25,2140,7,0,1,1019,11,0,0,0,0,1,0,1,0,1,0,0,0,30,41,2,"",0,0,1,8,21,"","",0,"","","",0,""
654,49299,5047,Ambassadors of Discovery,3,44,577,51,0,0,249,4,0,0,0,0,0,0,0,0,0,0,0,16,0,36,20,"",1,0,0,105,0,Jay Miller,Chief Medical Officer,1500,FeLJet,Zouo Gauze,Bartender,31,Zouo
655,49980,1204,Promotions for Everyone,0,0,0,44,0,3,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,{Karlos Lopes},0,0,0,0,0,Trey Noton,Chaplain,200,Madpan133,"","",0,""
656,49611,-20294,Singularity Fodder,1,49,1808,11,0,5,1746,18,0,0,0,0,2,0,6,0,1,0,0,0,46,54,0,{Fanzilia Clark},0,0,1,45,9,"","",0,"","","",0,""
657,49763,7932,Ambassadors of Discovery,1,0,2902,82,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,19,1,35,22,"",1,0,0,39,45,Seok Drummond,Research Director,1450,Onikuru,"","",0,""
658,49982,2816,Promotions for Everyone,0,0,146,7,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,"",1,0,0,4,0,Colton Moore,Scientist,1380,Robicod,"","",0,""
659,49495,3200,Promotions for Everyone,5,8,2470,60,0,1,998,15,0,0,0,0,2,0,10,0,0,0,0,0,10,41,2,"",0,0,0,90,58,"","",0,"","","",0,""
660,49513,7811,Ambassadors of Discovery,0,65,4748,23,0,0,262,4,0,0,0,0,0,0,0,0,0,0,0,12,1,27,20,"",1,0,0,73,4,Henry Leichter,Research Director,2250,Weedmoon,Freddie Reed,Test Subject,0,""
661,49555,3781,Promotions for Everyone,2,1,958,7,0,0,123,17,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,{Kevin Stinger},1,0,0,1,10,"","",0,"","","",0,""
662,49609,3740,Promotions for Everyone,2,0,821,7,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,6,"",1,0,0,13,0,Otto Schulz,Head of Personnel,1500,Hans32,"","",0,""
663,49583,1202,Promotions for Everyone,0,0,35,44,0,4,183,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,9,"",0,0,0,12,0,Isaiah Vader,Medical Doctor,1120,Maleyvich,"","",0,""
664,49752,6250,Ambassadors of Discovery,1,7,2396,48,0,0,393,10,0,0,0,0,0,0,0,0,0,0,0,17,1,53,36,"",1,0,0,75,2,Salvador Leach,Head of Personnel,1680,PhantomElite,Alex Ermakov,Chef,0,AlexSHIKHOV
665,49289,7408,Ambassadors of Discovery,10,238,2367,49,0,0,667,10,0,0,0,0,0,0,0,0,0,0,0,28,0,72,47,{Artem Pratt},1,0,0,215,78,Ma'ajika Shraji,Station Engineer,7795,Rolan228,Nikita Bubencov,Warden,110,Dark Minikin
666,49954,6751,Ambassadors of Discovery,9,8,3043,29,0,0,155,7,0,0,0,0,0,0,0,0,0,0,0,11,2,24,17,"",1,0,0,55,0,Buddy Begbie Jr.,Test Subject,3801,Barzabelle,Jaxon Buttersworth,Station Engineer,20,EvilShift
667,49633,466,Best of a Good Bunch,0,0,244,7,0,3,123,0,0,0,0,0,0,0,0,0,0,0,0,9,0,26,16,"",0,0,0,20,32,Otto Schulz,Head of Personnel,1500,Hans32,Loreto Bunten,Mime,22,TheOrangeTim
668,49600,2836,Promotions for Everyone,0,0,0,7,0,0,194,49,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,{Fyodor Yamkin},1,0,0,24,0,Fyodor Yamkin,Captain,2938,Kauf0,"","",0,""
669,49552,5702,Ambassadors of Discovery,1,8,1496,50,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,17,{Gennady Whiteman},1,0,0,49,0,Anna Smith,Research Director,13725,Lazarev Vladimir,Alex Wilkerson,Station Engineer,10,La_zurit_48
670,49747,8998,Ambassadors of Discovery,3,0,4964,58,0,0,611,1,0,0,0,0,0,0,0,0,0,0,0,7,0,29,24,"",1,0,0,58,34,Omicron,Scientist,1071,MMDI,Norman Don,Shaft Miner,0,Intesus
671,49549,-2108,You're All Fired,5,0,1201,7,0,11,684,24,0,0,0,0,1,0,0,0,0,0,0,0,11,48,31,"",0,0,0,10,1,"","",0,"","","",0,""
