id,root_id,name,assigned_role,special_role,antag_roles
5466,49436,Amshi Ammurio,Test Subject,"",
5467,49436,Jesus Gogovich,Security Officer,"",
5468,49436,Melvin Semenov,Shaft Miner,"",
5469,49436,Jason Snyder,Test Subject,"",
5471,49436,Curly Mens,Security Officer,"",
5472,49436,Kaylie Pennington,Scientist,Traitor,{Traitor}
5473,49436,Jeremy Simpson,Chaplain,"",
5474,49436,Ink Void,Shaft Miner,"",
5475,49436,Norman Normans,Station Engineer,"",
5476,49436,John Don,Paramedic,"",
5477,49436,Vincent Harshman,Xenobiologist,"",
5478,49436,Ivan Huga,Medical Doctor,"",
5479,49436,John Gardner,Roboticist,"",
5480,49436,Vladimir Nesterenko,MODE,Nuclear Operative,{Nuclear Operative}
5481,49436,Takirichi,Chef,"",
5482,49436,Vadim Kapustin,Librarian,"",
5483,49436,Conner Lineman,Security Officer,"",
5484,49436,Fanzilia Clark,Paramedic,Traitor,{Traitor}
5485,49436,Steve Anderson,Head of Personnel,Traitor,{Traitor}
5486,49436,Carlos Patel,Research Assistant,"",
5487,49436,Denis Suvorov,Test Subject,"",
5488,49436,Kirill LLisenko,Botanist,"",
5489,49436,Kirill Vasanski,Station Engineer,"",
5490,49436,Dar'zahr,Chemist,"",
5491,49436,David Garneys,Test Subject,"",
5492,49436,Pikus,default,"",
5493,49436,Oldman Kirsan,Mime,"",
5494,49436,Tanner Anderson,Bartender,"",
5495,49436,Aphelios Tildor,Security Officer,"",
5496,49436,Yrtem Kingdarli,Security Cadet,"",
5497,49436,Seymour Briggs,Internal Affairs Agent,"",
5498,49436,Ramon Riker,Station Engineer,"",
5499,49436,Silver Eyes,Test Subject,"",
5500,49436,Stefan Ridus,Test Subject,"",
5501,49436,Robert Liech,Station Engineer,"",
5502,49436,Jack Willows,Psychiatrist,"",
5503,49436,Unbelievable God,Chaplain`s staff,"",
5505,49436,Nikolas Snyder,Scientist,"",
5506,49436,Syndicate Robot-87,MODE,Nuclear Operative,{Nuclear Operative}
5507,49436,MSO-536,Cyborg,"",
5508,49436,maintenance drone (426),Cyborg,"",
5509,49436,mouse (545),Animal,"",
5510,49436,maintenance drone (144),Cyborg,"",
5511,49436,Adamantine Golem (895),default,"",
5512,49436,Carl Disid,Test Subject,"",
5513,49436,mouse (371),Animal,"",
5514,49436,Adamantine Golem (79),default,"",
5515,49436,Leonardo Rockwell,Scientist,"",
5516,49436,Jose Butterfill,Warden,"",
5517,49436,Dorothy Woodward,Cargo Technician,"",
5518,49436,Koudi Cooper,Medical Intern,"",
5519,49436,Evgeniy Barabulka,Test Subject,"",
5520,49436,Jonathan Jozaf,Technical Assistant,"",
5521,49436,Hans Uberman,Internal Affairs Agent,"",
5522,49436,maintenance drone (230),Cyborg,"",
5523,49436,mouse (357),Animal,"",
5524,49436,maintenance drone (958),Cyborg,"",
7647,49506,Mekhi Kimple,Detective,"",
7648,49507,Jimmi Homat,Head of Personnel,"",
7649,49507,Egor Machilov,Recycler,"",
7650,49507,Clown,Clown,"",
7651,49507,Henry Leichter,Mime,"",
7652,49507,Lorin Ackerley,Security Officer,"",
7653,49507,Edward Brown,Chef,"",
10080,49579,ANCL-407,Cyborg,"",
10081,49579,Andre Bailey,Chemist,"",
10082,49579,Jake Stone,Detective,"",
10083,49579,unknown,default,"",
10084,49579,Ikitatikichi,Medical Doctor,"",
10085,49579,unknown,default,"",
10086,49579,Byron Quinn,Technical Assistant,"",
10087,49581,Albina Djamaeva,Medical Doctor,Traitor,{Traitor}
7654,49509,Reid Larson,Cyborg,"",
7655,49509,Rudolf Wolff,Scientist,"",
7656,49509,Fyodor Yamkin,Medical Doctor,"",
7657,49509,Wuixmiuiwu Qrwrwimwrmi,Paramedic,"",
7658,49509,Seymour Briggs,Roboticist,"",
7659,49509,Patrick Christman,Technical Assistant,"",
7660,49509,Alex King,Chief Engineer,"",
7661,49509,Marcus Dilfson,Geneticist,"",
7662,49509,Jose Butterfill,Chemist,"",
7663,49509,Bondrud Summy,Cargo Technician,"",
7664,49509,Michael Clarke,Quartermaster,"",
7665,49509,Waver Purplehead,Detective,"",
7666,49509,Cold Winds Of Winter,Xenoarchaeologist,"",
7667,49509,Michael Goliafof,Shaft Miner,"",
10088,49581,Nicole Valencia,Janitor,"",
10089,49581,Sirius Keter,Scientist,"",
10090,49581,Cliff Nickolson,Atmospheric Technician,"",
10091,49582,Rashidi Adelakun,Station Engineer,"",
10092,49582,Isaiah Vader,Medical Doctor,"",
10093,49582,maintenance drone (286),Cyborg,"",
10094,49582,Fanzilia Clark,Station Engineer,"",
10095,49582,Rudolf Wolf,Scientist,"",
