owner_id,id,name,role_name,is_roundstart_role,type,victory,faction_name,mind_name,mind_ckey
224,929,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Paral Dune,kenariys
302,1220,Traitor,Traitor,1,/datum/role/traitor,1,Traitor,Henry Leichter,weedmoon
303,1221,Traitor,Traitor,0,/datum/role/traitor,1,Traitor,Vichita'Hidanchi-Tichivata,aktano
304,1222,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (516),individuum135
864,3399,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Katihikahati,kotchan
864,3400,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Tichachita,weedmoon
14,44,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (573),grozaandgrom
14,45,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (360),grozaandgrom
14,46,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien hunter (678),zickusable
14,47,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (361),smolin
14,48,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (682),hopelesssoul
14,49,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (411),mentaleater
14,50,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (925),akakiyfrix
14,51,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (53),mentaleater
14,52,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien drone (532),hopelesssoul
14,53,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (903),pimap
14,54,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (204),grozaandgrom
14,55,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (88),mmdi
14,56,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (62),mentaleater
14,57,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (494),akakiyfrix
14,58,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (312),xazard
14,59,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (703),citizen14376
14,60,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (137),pimap
14,61,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (184),akakiyfrix
