root_id,id,name,faction_name,minor_victory,type,victory
49989,927,Traitors,Traitor,0,/datum/faction/traitor,0
49989,928,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49991,929,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49991,930,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49993,931,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,0
49993,932,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49994,933,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49994,934,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49995,935,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49995,936,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49995,937,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
49995,938,Spider Clan,Spider Clan,0,/datum/faction/ninja,0
49997,939,Malf AI,Malf AI,0,/datum/faction/malf_silicons,1
49997,940,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49997,941,Props,Props,0,/datum/faction/props,0
49997,942,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49998,943,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,0
49998,944,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50001,945,Traitors,Traitor,0,/datum/faction/traitor,0
50001,946,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
50002,947,Traitors,Traitor,0,/datum/faction/traitor,0
50002,948,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
50003,949,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
50003,950,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50007,951,Traitors,Traitor,0,/datum/faction/traitor,0
50007,952,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
50009,953,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
50010,954,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
50010,955,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50010,956,Emergency Response Team,Emergency Response Team,0,/datum/faction/strike_team/ert,1
50011,957,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
50011,958,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
50011,959,Props,Props,0,/datum/faction/props,0
50014,960,Emergency Response Team,Emergency Response Team,0,/datum/faction/strike_team/ert,1
50016,961,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
50016,962,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50034,963,Traitors,Traitor,0,/datum/faction/traitor,0
50034,964,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
50036,965,Traitors,Traitor,0,/datum/faction/traitor,0
50036,966,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
50038,967,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
50038,968,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50039,969,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
50039,970,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50040,971,Malf AI,Malf AI,0,/datum/faction/malf_silicons,1
50040,972,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50040,973,Emergency Response Team,Emergency Response Team,0,/datum/faction/strike_team/ert,1
50042,974,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
50042,975,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
50042,976,Spider Clan,Spider Clan,0,/datum/faction/ninja,0
50042,977,Emergency Response Team,Emergency Response Team,0,/datum/faction/strike_team/ert,1
