id,uplink_info_id,cost,bundlename,item_type
630,230,5,Energy Dagger,/obj/item/weapon/pen/edagger
631,233,1,Syndicate Soap,/obj/item/weapon/reagent_containers/food/snacks/soap/syndie
632,234,7,Compressed Implant,/obj/item/weapon/implanter/storage
633,234,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
634,234,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
635,234,2,Camera Bug,/obj/item/device/camera_bug
636,234,3,EMP Implant,/obj/item/weapon/storage/box/syndie_kit/imp_emp
637,236,12,Silence gloves,/obj/item/clothing/gloves/black/silence
638,236,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
639,236,6,Box of Throwing Weapons,/obj/item/weapon/storage/box/syndie_kit/throwing_weapon
640,238,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
641,238,20,ninja bundle,/obj/item/weapon/storage/box/syndicate
642,239,7,Compressed Implant,/obj/item/weapon/implanter/storage
643,239,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
644,239,1,Syndicate Soap,/obj/item/weapon/reagent_containers/food/snacks/soap/syndie
645,239,3,Slipocalypse Clusterbang,/obj/item/weapon/grenade/clusterbuster/soap
646,239,1,Adaptive Cardboard Cutouts,/obj/item/weapon/storage/box/syndie_kit/cutouts
647,239,2,Chameleon Kit,/obj/item/weapon/storage/box/syndie_kit/chameleon
648,240,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
649,240,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
650,240,6,Stechkin Pistol,/obj/item/weapon/gun/projectile/automatic/pistol
651,241,7,Radioactive Microlaser,/obj/item/device/healthanalyzer/rad_laser
652,241,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
653,241,1,Composition C-4,/obj/item/weapon/plastique
654,241,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
655,242,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
656,242,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
657,242,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
658,243,3,Explosive Implant,/obj/item/weapon/implanter/explosive
659,243,5,Energy Dagger,/obj/item/weapon/pen/edagger
660,243,7,Miniature Energy Crossbow,/obj/item/weapon/gun/energy/crossbow
661,243,1,Smuggler's Satchel,/obj/item/weapon/storage/backpack/satchel/flat
662,243,2,Artificial Intelligence Detector,/obj/item/device/multitool/ai_detect
663,244,1,Syndicate Briefcase Full of Cash,/obj/item/weapon/storage/secure/briefcase/syndie
664,244,5,Energy Dagger,/obj/item/weapon/pen/edagger
665,244,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
